author	vendor	magnet	software	stc	mc	ss	dr	hmp	ts	ff	or	droi	resp	doi
"Van De Ville et al, (2012)
Haller et al., (2013)"	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2012.08.061
Veit et al., 2012	Siemens	1.5T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1093/scan/nsr061
Yamashita et al., (2017)	Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	HIGHPASS	Y	DNR	DNR	DNR	N	RT CORR +REG	10.1093/cercor/bhx177
Yao et al., (2016)	GE	3T	TBV	DNR	Y	DNR	Y	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2016.02.035
Yoo  et al., (2006)	GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1097/01.wnr.0000227996.53540.22
Yoo et al., (2007), Lee et al., (2012)	GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1097/WNR.0b013e3282f202ac
Yoo et al., (2008)	GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1002/ima.20139
Young et al., (2014), Yuan et al., (2014), Zotev et al., (2016)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1371/journal.pone.0088785
Young et al., (2017a, 2017b)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.biopsych.2017.03.013
Zhang  et al., (2013)	Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1109/TNSRE.2012.2221480
Zhang et al., (2016, 2013)	Siemens	3T	TBV	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.1166/jmihi.2016.1921
Zhao et al., 2013	Siemens	3T	TBV	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnhum.2013.00866
Zilverstand et al., (2015)	Siemens	3T	TBV	DNR	Y	DNR	IGLM	DNR	DNR	HIGHPASS	DNR	N	OFFLINE CORR	10.3389/fnbeh.2015.00148
Zilverstand et al., (2017)	Siemens	3T	TBV	DNR	Y	DNR	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0170795
Zotev et al., (2011)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1371/journal.pone.0024522
Zotev et al., (2014)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2013.04.126
Bagarinao (2018)	Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2018.00158
Direito (2019)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroscience.2019.02.024
Ekanayake (2018)	Siemens	3T	TBV	DNR	Y	6MM	IGLM	DNR	DNR	DNR	KALMAN	N	DNR	10.1016/j.neuroimage.2017.12.019
Hellrung (2018)	Siemens	3T	BART	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2017.10.031
Herwig (2019)	Philips	3T	TBV	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2018.09.068
Karch (2019)	Philips	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2019.00065
Kim (2019)	Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	Y	DNR	BANDPASS	Y	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2019.03.066
Kirschner (2018)	Philips	3T	TBV	DNR	DNR	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.ebiom.2018.10.052
Kober (2019)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1007/s00455-019-09985-w
Kohl (2019)	Siemens	3T	TBV	DNR	Y	9MM	Y	DNR	4PT	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2019.02.033
Lee (2019)	Siemens	3T	Custom Matlab + SPM	DNR	Y	4MM	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2018.12.055
Li (2018)	Siemens	3T	Custom Matlab + SPM	DNR	DNR	DNR	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1037/neu0000425
Lorenzetti (2018)	Philips	3T	FRIEND	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fneur.2018.00390
MacDuffie (2018)	GE	3T	Custom Other	DNR	DNR	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.nicl.2018.06.009
Marins (2019)	Philips	3T	FRIEND	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2019.03.027
Mehler (2019)	GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	OFFLINE CORR	10.1016/j.neuroimage.2018.09.007
Mehler (2018)	GE	3T	TBV	DNR	Y	4MM	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1038/s41386-018-0126-5
Nicholson (2018)	Siemens	3T	TBV	DNR	Y	4MM	DNR	DNR	4PT	DNR	DNR	N	DNR	10.1002/hbm.24244
Orlov (2018)	GE	3T	AFNI	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1038/s41398-017-0067-5
Papoutsi (2018)	DNR	DNR	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1002/hbm.23921
Sherwood (2018)	GE	3T	Custom Matlab + SPM	DNR	Y	7MM	DNR	DNR	5PT	DNR	DNR	N	DNR	10.3934/Neuroscience.2018.3.179
Tinaz (2018)	Siemens	3T	BioImage Suite	DNR	Y	DNR	Y	Y	DNR	Y	DNR	N	DNR	10.3389/fnhum.2018.00496
Van den Boom (2018)	Philips	7T	Custom Matlab + SPM	DNR	Y	12MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.euroneuro.2018.08.508
Liu (2018)	Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.1109/TNSRE.2018.2838075
Zhao (2019)	GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1159/000496057
Zotev (2018)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1002/hbm.23902
Zotev (2018)	GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.nicl.2018.04.010
Zweerings (2019)	Siemens	3T	TBV	DNR	DNR	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2019.01.058
Zweerings (2018)	Siemens	3T	OpenNFT	DNR	Y	DNR	EMA	DNR	DNR	DNR	KALMAN	N	RT	10.3389/fpsyt.2018.00219
