vendor	magnet	software	stc	mc	ss	dr	hmp	ts	ff	or	droi	resp	doi
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.3758/s13415-010-0010-1
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0133034
Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	BANDPASS	Y	3PT	DNR	DNR	N	DNR	10.1162/jocn_a_00802
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1111/adb.12278
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1038/s41562-016-0006
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR + OFFLINE CORR	10.1016/j.neuroimage.2013.05.010
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR + OFFLINE CORR	10.1093/cercor/bhv311
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2013.10.069
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	6PT	DNR	DNR	N	DNR	10.1111/j.1369-1600.2012.00449.x
GE	3T	AFNI	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1007/s00221-016-4744-z
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0038115
GE	3T	Custom Other	DNR	Y	DNR	Y	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuron.2016.02.002
Philips	3T	FRIEND	DNR	Y	5MM	DNR	DNR	DNR	DNR	Y	N	N	10.3389/fnbeh.2015.00341
Siemens	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.3389/fnhum.2016.00183
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT + OFFLINE RETROICOR	10.3389/fnbeh.2015.00136
Philips	3T	Custom Other	DNR	Y	DNR	DNR	DNR	DNR	BANDPASS	Y	N	DNR	10.1016/j.neuroimage.2010.12.016
Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2015.00160
Philips	3T	FRIEND	DNR	Y	Y	Y	DNR	DNR	DNR	Y	N	DNR	10.1371/journal.pone.0097343
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	4PT	DNR	DNR	N	DNR	10.1002/hbm.23402
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	4PT	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00299
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	Y	DNR	DNR	N	DNR	10.1093/scan/nsw016
Siemens	3T	Custom Matlab + SPM	Y	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.3389/FNHUM.2017.00193
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1073/pnas.1516857113
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnbeh.2014.00357
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.22585
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	Y	ROI DIFF + OFFLINE CORR	10.1016/j.neuroimage.2014.05.072
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1080/09602011.2017.1301262 
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.20621
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.21427
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.bbr.2014.11.027
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF + OFFLINE CORR	10.1523/JNEUROSCI.6334-11.2012
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1016/j.biopsycho.2015.03.009
Siemens	3T	BioImage Suite	Y	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1038/tp.2013.24
Philips	1.5T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1002/hbm.23228
Siemens	1.5T	Custom Matlab + SPM	DNR	Y	9MM	DNR	DNR	5PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2015.08.074
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1126/science.1212003
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pbio.1002546
GE	3T	TBV	DNR	Y	Y	IGLM	DNR	Y	DNR	DNR	N	DNR	10.3389/fnbeh.2014.00392
Siemens	1.5T,3T	TBV	DNR	Y	Y	IGLM	DNR	DNR	HIGHPASS	DNR	N	OFFLINE CORR	10.1016/j.neuroscience.2016.09.026
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0155961
Siemens	3T	TBV	DNR	Y	9MM	IGLM	DNR	DNR	DNR	DNR	N	RT CORR +REG	10.1016/j.appet.2017.01.032
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1523/JNEUROSCI.3498-11.2011
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.3389/fnbeh.2016.00111
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2013.05.115
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2012.08.061
Siemens	1.5T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.1093/scan/nsr061
Siemens	3T	Custom Matlab + SPM	DNR	Y	DNR	HIGHPASS	Y	DNR	DNR	DNR	N	RT CORR +REG	10.1093/cercor/bhx177
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2016.02.035
GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1097/01.wnr.0000227996.53540.22
GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1097/WNR.0b013e3282f202ac
GE	3T	Custom Matlab + SPM	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1002/ima.20139
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1371/journal.pone.0088785
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.biopsych.2017.03.013
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1109/TNSRE.2012.2221480
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1166/jmihi.2016.1921
Siemens	3T	TBV	DNR	Y	8MM	IGLM	DNR	DNR	DNR	DNR	Y	ROI DIFF	10.3389/fnhum.2013.00866
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	HIGHPASS	DNR	N	OFFLINE CORR	10.3389/fnbeh.2015.00148
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1371/journal.pone.0170795
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1371/journal.pone.0024522
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	DNR	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2013.04.126
Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2018.00158
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroscience.2019.02.024
Siemens	3T	TBV	DNR	Y	6MM	IGLM	DNR	DNR	DNR	KALMAN	N	DNR	10.1016/j.neuroimage.2017.12.019
Siemens	3T	BART	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	DNR	10.1016/j.neuroimage.2017.10.031
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2018.09.068
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.3389/fnhum.2019.00065
Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	Y	DNR	BANDPASS	Y	N	OFFLINE RETROICOR	10.1016/j.neuroimage.2019.03.066
Philips	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.ebiom.2018.10.052
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	DNR	10.1007/s00455-019-09985-w
Siemens	3T	TBV	DNR	Y	9MM	IGLM	DNR	4PT	DNR	DNR	Y	ROI DIFF	10.1016/j.neuroimage.2019.02.033
Siemens	3T	Custom Matlab + SPM	DNR	Y	4MM	DNR	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2018.12.055
Siemens	3T	Custom Matlab + SPM	DNR	DNR	DNR	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1037/neu0000425
Philips	3T	FRIEND	DNR	Y	Y	DNR	DNR	DNR	DNR	Y	N	DNR	10.3389/fneur.2018.00390
GE	3T	Custom Other	DNR	DNR	DNR	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.nicl.2018.06.009
Philips	3T	FRIEND	DNR	Y	Y	DNR	DNR	DNR	DNR	Y	N	DNR	10.1016/j.neuroimage.2019.03.027
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	OFFLINE CORR	10.1016/j.neuroimage.2018.09.007
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1038/s41386-018-0126-5
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	4PT	DNR	DNR	N	DNR	10.1002/hbm.24244
GE	3T	AFNI	DNR	Y	Y	DNR	DNR	3PT	DNR	DNR	Y	ROI DIFF	10.1038/s41398-017-0067-5
DNR	DNR	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1002/hbm.23921
GE	3T	Custom Matlab + SPM	DNR	Y	7MM	DNR	DNR	5PT	DNR	DNR	N	DNR	10.3934/Neuroscience.2018.3.179
Siemens	3T	BioImage Suite	DNR	Y	DNR	Y	Y	DNR	Y	DNR	N	DNR	10.3389/fnhum.2018.00496
Philips	7T	Custom Matlab + SPM	DNR	Y	12MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.euroneuro.2018.08.508
Siemens	3T	Custom Matlab + SPM	DNR	Y	8MM	Y	DNR	DNR	DNR	DNR	N	DNR	10.1109/TNSRE.2018.2838075
GE	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1159/000496057
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1002/hbm.23902
GE	3T	AFNI	DNR	Y	DNR	DNR	DNR	3PT	DNR	DNR	N	OFFLINE RETROICOR	10.1016/j.nicl.2018.04.010
Siemens	3T	TBV	DNR	Y	4MM	IGLM	DNR	DNR	DNR	DNR	N	DNR	10.1016/j.neuroimage.2019.01.058
Siemens	3T	OpenNFT	DNR	Y	5MM	EMA	Y	DNR	DNR	KALMAN	N	RT	10.3389/fpsyt.2018.00219
